title,scenariste,dessinateur,code_barre,editeur,dewey,date_acquis,date_hors_circu,ref,cote,resume,tags
"AGRIPPINE PREND VAEUR","","","1000000023800","BRETECHER","Humour","1999-03-05T00:00:00.000Z",,102380,,,
"DILBERT : LES  NOUVELLES MISERES DE LA VIE DE BUREAU","","","1000000023817","ALBIN MICHEL","Humour","1999-03-05T00:00:00.000Z","2012-04-27T00:00:00.000Z",102381,,,
"LE MEILLEUR DU CHAT","GELUCK","GELUCK","1000000023824","CASTERMAN","Humour","1999-03-05T00:00:00.000Z",,102382,,,
"L'EXCELLENT DU CHAT","GELUCK","GELUCK","1000000023831","CASTERMAN","Humour","1999-03-05T00:00:00.000Z",,102383,,,
"LES AVENTURES DE JEROME MOUCHEROT : LES DENTS DU RECOIN","","BOUCQ","1000000023848","CASTERMAN","Humour","1999-03-05T00:00:00.000Z",,102384,,,
"LES AVENTURES DE JEROME MOUCHEROT : SUS A L'IMPREVU","","BOUCQ","1000000023855","CASTERMAN","Humour","1999-03-05T00:00:00.000Z",,102385,,,
"MAUS : L'INTEGRALE","","","1000000023862","FLAMMARION","Aventure","1999-03-05T00:00:00.000Z",,102386,,,
"LE DESTIN DE MONIQUE","","","1000000023879","BRETECHER","Humour","1999-03-05T00:00:00.000Z",,102387,,,
"YOKO TSUNO : N 19 L'OR DU RHIN","","","1000000023886","DUPUIS","Fantastique","1999-03-05T00:00:00.000Z",,102388,,,
"ASTERIX : N 21 LE CADEAU DE CESAR","GOSCINNY","UDERZO","1000000023893","ALBERT RENE","Humour","1999-03-05T00:00:00.000Z",,102389,,,
"LA CRYPTE","","MARTIN","1000000023909","CASTERMAN","Aventure","1999-03-05T00:00:00.000Z",,102390,,,
"L'HISTOIRE DES 3 ADOLF","","TEZUKA OSAMU","1000000023916","TONKAM","Policier","1999-10-28T00:00:00.000Z",,102391,,,
"LE SERMENT DE L'AMBRE : T02 PORTENDICK","","LEROUX /MARTIN","1000000023923","DELCOURT","Fantastique","1999-10-28T00:00:00.000Z",,102392,,,
"MONSIEUR JEAN : LES FEMMES ET LES ENFANTS D'ABORD","","DUPUY","1000000023930","HUMANOIDES","Humour","1999-10-28T00:00:00.000Z",,102393,,,
"MONSIEUR JEAN : VIVONS HEUREUX SANS EN AVOIR L'AIR","","DUPUY","1000000023947","HUMANOIDES","Humour","1999-10-28T00:00:00.000Z",,102394,,,
"LES MAITRES CARTOGRAPHES : T 04 L'ECLAT DE CAMERLOT","","GLAUDEL","1000000023954","SOLEIL","Fantastique","1999-10-28T00:00:00.000Z",,102395,,,
"LES MAITRES CARTOGRAPHES : T 05 LE CRI DU  POUILLON","","GLAUDEL","1000000023961","SOLEIL","Fantastique","1999-10-28T00:00:00.000Z",,102396,,,
